low: 551328
mid: 116888
high: 243807


no  id    low mid high max overall
==================================
0    0     2   0   1    2    low
1    1     7   5   8    8    high
2    2     3   1   0    3    low
3    3     4   2   0    4    low
4    4     1   1   0    1    mid
5    5     4   0   2    4    low
6    6     6   1   2    6    low
7    7     6   1   5    6    low
8    8     2   0   0    2    low
9    9     7   3   4    7    low
10   10    15  3   4    15   low
11   11    2   5   0    5    mid
12   12    6   3   6    6    high
13   13    12  6   2    12   low
14   14    12  2   4    12   low
15   15    4   3   4    4    high
16   16    5   4   3    5    low
17   17    7   2   1    7    low
18   18    3   1   1    3    low
19   20    0   0   1    1    high
20   21    6   2   1    6    low
21   22    14  9   2    14   low
22   23    7   2   4    7    low
23   24    6   3   3    6    low
24   25    3   0   0    3    low
25   26    16  7   5    16   low
26   27    8   5   4    8    low
27   28    13  3   3    13   low
28   30    3   1   3    3    high
29   31    13  8   8    13   low
30   33    15  8   8    15   low
31   34    18  8   15   18   low
32   35    5   3   2    5    low
33   36    14  5   5    14   low
34   37    19  11 14  19 low
35   38    5   4 4  5 low
36   39    7   4 6  7 low
37   40    2 1 3  3 high
38   41    5 1 4  5 low
39   42    10 2 7  10 low
40   43    6 2 6  6 high
41   44    13 8 4  13 low
42   45    11 6 5  11 low
43   46    4 1 2  4 low
44   47    20 7 9  20 low
45   48    5 2 0  5 low
46   49    2 1 1  2 low
47   50    7 7 0  7 mid
48   51    5 4 7  7 high
49   52    8 3 0  8 low
50   53    7 3 0  7 low
51   54    13 5 1  13 low
52   55    18 7 11  18 low
53   56    8 6 7  8 low
54   57    6 2 2  6 low
55   58    12 4 3  12 low
56   59    13 10 6  13 low
57   60    7 5 6  7 low
58   61    13 4 5  13 low
59   62    5 2 0  5 low
60   63    15 5 4  15 low
61   64    12 9 5  12 low
62   65    3 4 2  4 mid
63   66    10 4 4  10 low
64   67    4 2 3  4 low
65   68    3 4 3  4 mid
66   69    3 2 4  4 high
67   70    3 0 2  3 low
68   72    5 0 2  5 low
69   73    0 2 2  2 high
70   74    5 0 4  5 low
71   75    7 3 5  7 low
72   76    3 1 0  3 low
73   77    1 0 2  2 high
74   78    3 4 8  8 high
75   79    3 1 4  4 high
76   80    4 2 1  4 low
77   81    2 1 2  2 high
78   82    5 2 0  5 low
79   84    3 0 4  4 high
80   85    0 1 1  1 high
81   86    5 0 0  5 low
82   87    0 1 3  3 high
83   88    1 1 2  2 high
84   89    4 0 3  4 low
85   90    8 2 3  8 low
86   91    3 1 3  3 high
87   95    3 2 1  3 low
88   97    4 0 0  4 low
89   98    3 2 5  5 high
90   99    4 0 2  4 low
91   100 3 0 2  3 low
92   101 4 0 1  4 low
93   102 1 2 1  2 mid
94   103 5 0 0  5 low
95   104 3 1 4  4 high
96   105 4 1 2  4 low
97   107 5 0 3  5 low
98   108 0 0 4  4 high
99   109 3 0 0  3 low
100   110 2 0 0  2 low
101   111 7 5 3  7 low
102   112 4 2 1  4 low
103   113 4 4 4  4 high
104 115 18 2 10  18 low
105 116 6 2 2  6 low
106 117 12 7 8  12 low
107 118 7 3 2  7 low
108 119 10 4 8  10 low
109 120 10 2 5  10 low
110 121 4 2 3  4 low
111 122 12 8 5  12 low
112 123 16 5 9  16 low
113 124 10 4 10  10 high
114 125 8 8 11  11 high
115 126 10 5 2  10 low
116 127 6 0 2  6 low
117 128 7 6 3  7 low
118 129 14 5 10  14 low
119 130 11 4 2  11 low
120 131 8 4 4  8 low
121 132 13 7 12  13 low
122 133 23 5 10  23 low
123 134 5 1 6  6 high
124 136 4 0 1  4 low
125 139 11 3 7  11 low
126 140 13 6 10  13 low
127 141 2 2 1  2 mid
128 143 6 4 3  6 low
129 144 3 3 3  3 high
130 145 13 3 2  13 low
131 146 6 4 1  6 low
132 147 8 1 1  8 low
133 148 10 3 8  10 low
134 149 2 1 2  2 high
135 151 7 2 5  7 low
136 152 4 1 2  4 low
137 153 8 4 1  8 low
138 154 6 2 1  6 low
139 155 1 3 2  3 mid
140 156 4 0 1  4 low
141 157 6 2 1  6 low
142 159 1 1 2  2 high
143 160 2 3 2  3 mid
144 161 2 1 1  2 low
145 162 4 3 2  4 low
146 163 9 1 4  9 low
147 164 3 1 2  3 low
148 165 5 4 2  5 low
149 166 12 7 11  12 low
150 167 8 1 4  8 low
151 168 5 1 2  5 low
152 169 1 0 0  1 low
153 170 6 3 1  6 low
154 171 3 1 2  3 low
155 172 3 1 3  3 high
156 173 8 2 2  8 low
157 175 5 1 4  5 low
158 177 4 2 2  4 low
159 179 3 3 2  3 mid
160 180 6 1 5  6 low
161 181 1 0 3  3 high
162 182 6 3 2  6 low
163 184 2 1 2  2 high
164 185 6 5 0  6 low
165 186 8 6 2  8 low
166 187 7 2 3  7 low
167 188 18 3 4  18 low
168 189 7 4 8  8 high
169 190 6 3 5  6 low
170 192 12 8 3  12 low
171 193 3 0 1  3 low
172 194 2 2 1  2 mid
173 195 8 0 0  8 low
174 196 6 1 3  6 low
175 197 6 2 3  6 low
176 198 15 2 7  15 low
177 199 23 9 13  23 low
178 200 2 1 3  3 high
179 201 13 1 4  13 low
180 202 12 6 13  13 high
181 204 9 3 4  9 low
182 205 12 2 5  12 low
183 206 14 6 13  14 low
184 207 4 1 2  4 low
185 209 12 2 3  12 low
186 210 13 2 5  13 low
187 211 1 1 1  1 high
188 212 14 6 6  14 low
189 213 15 9 10  15 low
190 214 4 1 0  4 low
191 215 16 4 8  16 low
192 216 12 10 10  12 low
193 217 9 2 6  9 low
194 218 17 9 12  17 low
195 219 10 6 4  10 low
196 220 13 5 7  13 low
197 221 16 6 9  16 low
198 222 15 6 7  15 low
199 223 7 2 1  7 low
200 224 13 4 5  13 low
201 226 6 2 2  6 low
202 227 2 1 2  2 high
203 228 7 3 4  7 low
204 229 6 2 0  6 low
205 230 11 5 2  11 low
206 231 21 7 16  21 low
207 232 12 4 11  12 low
208 233 11 3 3  11 low
209 234 17 2 8  17 low
210 235 9 4 5  9 low
211 236 16 6 5  16 low
212 237 17 9 11  17 low
213 238 11 3 2  11 low
214 239 3 1 2  3 low
215 240 10 2 0  10 low
216 241 7 3 9  9 high
217 242 6 2 0  6 low
218 243 6 0 2  6 low
219 244 13 3 5  13 low
220 245 12 3 8  12 low
221 246 4 1 1  4 low
222 248 14 4 5  14 low
223 249 2 1 1  2 low
224 250 10 3 6  10 low
225 251 12 3 7  12 low
226 252 11 3 8  11 low
227 253 10 1 3  10 low
228 254 15 5 1  15 low
229 255 20 8 5  20 low
230 256 16 1 6  16 low
231 257 6 1 3  6 low
232 258 11 2 3  11 low
233 259 10 7 8  10 low
234 260 15 2 5  15 low
235 261 3 5 1  5 mid
236 262 8 5 2  8 low
237 264 12 2 10  12 low
238 265 3 1 1  3 low
239 266 2 2 3  3 high
240 267 2 1 1  2 low
241 268 11 1 4  11 low
242 269 5 0 0  5 low
243 271 7 0 0  7 low
244 272 3 2 2  3 low
245 273 4 2 1  4 low
246 275 5 1 4  5 low
247 276 8 2 2  8 low
248 277 2 2 5  5 high
249 278 5 1 1  5 low
250 281 3 1 1  3 low
251 282 7 0 3  7 low
252 283 5 1 0  5 low
253 284 10 4 1  10 low
254 286 17 4 7  17 low
255 287 3 0 1  3 low
256 288 8 9 2  9 mid
257 289 4 2 2  4 low
